"Survived","Pclass","Sex","Age","SibSp","Parch","Embarked"
"0","1","male",46,"0","0","S"
"0","3","female",23,"0","0","S"
"0","2","male",36,"1","1","C"
"0","3","male",53,"0","0","S"
"0","3","male",7,"3","2","S"
"1","1","female",64,"1","1","S"
"1","3","male",29,"0","0","S"
"0","1","male",46,"0","0","S"
"1","3","female",29,"0","1","S"
"0","3","male",18,"4","1","S"
"0","3","male",42,"0","0","Q"
"0","3","male",37,"0","0","S"
"1","2","male",6,"0","2","C"
"1","3","male",32,"0","0","Q"
"1","1","female",76,"0","0","S"
"1","3","female",13,"1","0","C"
"1","2","male",4,"1","1","S"
"0","3","male",24,"0","0","C"
"0","3","male",23,"0","0","S"
"0","3","male",16,"0","0","S"
"1","1","female",47,"1","1","C"
"0","3","male",21,"0","0","S"
"0","3","male",25,"0","0","S"
"1","3","male",37,"0","0","S"
"1","1","male",64,"0","0","C"
"0","3","male",19,"0","0","S"
"0","2","male",14,"0","0","S"
"1","1","female",34,"0","0","C"
"0","3","male",41,"0","0","C"
"0","3","male",15,"0","0","S"
"0","3","male",52,"0","0","S"
"0","3","male",11,"8","2","S"
"0","3","male",42,"0","0","C"
"0","2","male",30,"0","1","S"
"1","1","female",42,"1","0","C"
"0","3","male",48,"4","2","S"
"0","3","male",85,"0","0","S"
"0","3","female",88,"1","1","C"
"1","1","female",14,"0","1","S"
"0","2","female",54,"1","0","S"
"1","3","female",16,"0","1","S"
"1","1","female",55,"1","1","S"
"1","1","male",63,"0","0","S"
"1","3","female",25,"0","3","C"
"0","3","male",24,"0","0","C"
"0","3","male",51,"2","0","S"
"0","2","male",21,"1","0","S"
"1","1","female",59,"0","0","S"
"0","3","female",21,"8","2","S"
"0","2","male",25,"0","0","S"
"1","2","female",52,"0","0","S"
"1","2","female",29,"1","0","C"
"0","1","male",36,"0","0","S"
"0","3","male",30,"0","0","S"
"1","3","male",48,"1","1","S"
"0","3","male",28,"0","0","S"
"1","1","female",58,"1","1","S"
"0","1","male",39,"0","0","S"
"0","3","male",58,"0","0","S"
"1","2","female",30,"1","0","C"
"1","3","female",13,"0","0","C"
"0","3","male",19,"0","0","S"
"0","3","male",17,"0","0","S"
"0","3","male",39,"0","0","S"
"1","1","female",69,"0","1","C"
"1","2","female",27,"0","1","S"
"0","3","male",39,"0","0","S"
"0","3","female",22,"0","0","S"
"0","2","male",30,"0","0","S"
"0","3","male",27,"0","0","S"
"0","3","female",47,"0","5","Q"
"0","2","male",29,"0","0","S"
"1","1","female",17,"0","0","S"
"0","3","female",34,"1","2","S"
"1","1","male",28,"0","0","C"
"0","3","male",37,"0","0","Q"
